School Name	Address	lat	long	rank
School for the Talented and Gifted	1201 EAST EIGHTH ST DALLAS TX 75203 	32.7522292	-96.8066934	1
BASIS Tucson	3825 EAST 2ND ST TUCSON AZ 85716 	32.234824	-110.910936	2
Gwinnett School of Mathematics Science and Technology	970 MCELVANEY LN LAWRENCEVILLE GA 30044 	33.9522849	-84.0598152	3
Thomas Jefferson High School for Science and Technology	6560 BRADDOCK RD ALEXANDRIA VA 22312 	38.8180856	-77.1683232	4
BASIS Scottsdale	11440 NORTH 136TH ST SCOTTSDALE AZ 85259 	33.590355	-111.788143	5
Pine View School	1 PYTHON PATH OSPREY FL 34229 	27.186918	-82.479179	6
Loveless Academic Magnet Program High School	921 WEST JEFF DAVIS MONTGOMERY AL 36108 	32.3660519	-86.3232405	7
Biotechnology High School	4000 KOZLOSKI RD FREEHOLD NJ 07728 	40.26155	-74.2482457	8
International School	445 128TH AVE SE BELLEVUE WA 98005 	47.604526	-122.172162	9
Academic Magnet High School	1525 AVE B SOUTH NORTH CHARLESTON SC 29405 	32.8578872	-79.9642697	10
Pacific Collegiate School	255 SWIFT ST SANTA CRUZ CA 95060 	36.9534249	-122.0487708	11
High Technology High School	BCC  NEWMAN SPRINGS RD LINCROFT NJ 07738 	40.3311288	-74.1254114	12
Maine School of Science & Mathematics	95 HIGH ST LIMESTONE ME 04750 	46.9065818	-67.8302953	13
Irma Lerma Rangel Young Women's Leadership School	1718 R B CULLUM BLVD DALLAS TX 75210 	32.773212	-96.759354	14
International Studies Charter High School	2480 SW EIGHTH ST MIAMI FL 33135 	25.764992	-80.236427	15
Oxford Academy	5172 ORANGE AVE CYPRESS CA 90630 	33.8238134	-118.0422979	16
Carnegie Vanguard High School	10401 SCOTT ST HOUSTON TX 77051 	29.6466808	-95.3679013	17
International Academy	1020 EAST SQUARE LAKE RD BLOOMFIELD HILLS MI 48304 	42.602476	-83.226169	18
Stanton College Preparatory School	1149 WEST 13TH ST JACKSONVILLE FL 32209 	30.352409	-81.673781	19
Design & Architecture Senior High	4001 NE 2ND AVE MIAMI FL 33137 	25.8136992	-80.1912776	20
The Brooklyn Latin School	325 BUSHWICK AVE BROOKLYN NY 11206 	40.704976	-73.938767	21
International Community School	11133 NE 65TH ST KIRKLAND WA 98033 	47.6646823	-122.1921973	22
Signature School	610 MAIN ST EVANSVILLE IN 47708 	37.9728359	-87.5686192	23
School of Science and Engineering Magnet	1201 EAST EIGHTH ST DALLAS TX 75203 	32.7522292	-96.8066934	24
Young Women's Preparatory Academy	1150 SW 1 ST MIAMI FL 33130 	25.772082	-80.21372	25
Michael E. DeBakey High School for Health Professions	3100 SHENANDOAH ST HOUSTON TX 77021 	29.7101027	-95.3757763	26
Whitney High School	16800 SHOEMAKER AVE CERRITOS CA 90703 	33.8780139	-118.054533	27
Gilbert Classical Academy High School	55 NORTH GREENFIELD RD GILBERT AZ 85234 	33.351324	-111.737266	28
University High School	421 NORTH ARCADIA BLVD TUCSON AZ 85711 	32.227006	-110.8886066	29
The Preuss School 	9500 GILMAN DR MC 0536 LA JOLLA CA 92093 	32.8843552	-117.2338066	30
Sturgis Charter Public School	427 MAIN ST HYANNIS MA 02601 	41.651743	-70.285169	31
The Bronx High School of Science	75 WEST 205TH ST BRONX NY 10468 	40.8776621	-73.8910553	32
Northside College Preparatory High School	5501 NORTH KEDZIE AVE CHICAGO IL 60625 	41.981241	-87.707671	33
Bergen County Academies	200 HACKENSACK AVE HACKENSACK NJ 07601 	40.9021118	-74.0343816	34
High School for Dual Language and Asian Studies	350 GRAND ST NEW YORK NY 10002 	40.717321	-73.989323	35
The Baccalaureate School for Global Education	3412 36TH AVE LONG ISLAND CITY NY 11106 	40.754985	-73.926962	36
Hume-​Fogg Academic High School	700 BROADWAY NASHVILLE TN 37203 	36.159586	-86.78175	37
American Indian Public High School	3626 35TH AVE OAKLAND CA 94619 	37.793841	-122.199868	38
Lennox Mathematics Science & Technology Academy	11036 HAWTHORNE BLVD LENNOX CA 90304 	33.9353943	-118.3520579	39
Staten Island Technical High School	485 CLAWSON ST STATEN ISLAND NY 10306 	40.567929	-74.115695	40
Westlake Academy	2600 OTTINGER RD WESTLAKE TX 76262 	32.98471	-97.2106182	41
University High School	2611 EAST MATOIAN FRESNO CA 93740 	36.809963	-119.742962	42
Lowell High School	1101 EUCALYPTUS DR SAN FRANCISCO CA 94132 	37.7309946	-122.4835822	43
The High School of American Studies at Lehman College	2925 GOULDEN AVE BRONX NY 10468 	40.8746091	-73.8950801	44
Walter Payton College Preparatory High School	1034 NORTH WELLS ST CHICAGO IL 60610 	41.901666	-87.635232	45
YES Prep North Central	13703 ALDINE WESTFIELD RD HOUSTON TX 77039 	30.068689	-95.404466	46
Townsend Harris High School	14911 MELBOURNE AVE FLUSHING NY 11367 	40.735017	-73.821339	47
West Shore Junior/​Senior High School	250 WILDCAT ALLEY MELBOURNE FL 32935 	28.1071916	-80.6261259	48
Stuyvesant High School	345 CHAMBERS ST NEW YORK NY 10282 	40.7179707	-74.0140348	49
Dr. Ronald E. McNair Academic High School	123 COLES ST JERSEY CITY NJ 07302 	40.7268188	-74.0469758	50
North Hills Preparatory	606 EAST ROYAL LN IRVING TX 75039 	32.89481	-96.933173	51
Winston Churchill High School	11300 GAINSBOROUGH RD POTOMAC MD 20854 	39.044057	-77.1723317	52
Sonoran Science Academy Tucson	2325 WEST SUNSET RD TUCSON AZ 85741 	32.308047	-111.017418	53
The Science Academy of South Texas	900 MED HIGH DR MERCEDES TX 78570 	26.1557503	-97.9400371	54
Benjamin Franklin High School	2001 LEON C. SIMON DR NEW ORLEANS LA 70122 	30.025146	-90.06551	55
Eastwood Academy High School	1315 DUMBLE HOUSTON TX 77023 	29.735497	-95.328119	56
Boston Latin School	78 AVE LOUIS PASTEUR BOSTON MA 02115 	42.3381855	-71.1020029	57
Peak to Peak Charter School	800 MERLIN DR LAFAYETTE CO 80026 	39.991309	-105.081117	58
Walt Whitman High School	7100 WHITTIER BLVD BETHESDA MD 20817 	38.9815919	-77.1274356	59
IDEA Frontier College Preparatory	2800 SOUTH DAKOTA AVE BROWNSVILLE TX 78521 	25.886055	-97.42489	60
Rye High School	PARSONS ST RYE NY 10580 	40.9740505	-73.6863752	61
Pittsford Sutherland High School	55 SUTHERLAND ST PITTSFORD NY 14534 	43.0889717	-77.5219378	62
Queens High School for the Sciences at York College	9450 159TH ST JAMAICA NY 11451 	40.7009286	-73.7983153	63
Sumner Academy of Arts & Science	1610 NORTH 8TH ST KANSAS CITY KS 66101 	39.12141	-94.629517	64
Kipp Houston High School	10711 KIPP WAY HOUSTON TX 77099 	29.669357	-95.56626	65
Yes Prep -​ Southwest Campus	4411 ANDERSON RD HOUSTON TX 77053 	29.605588	-95.443232	66
Alexander W. Dreyfoos School of the Arts	501 SOUTH SAPODILLA AVE WEST PALM BEACH FL 33401 	26.708614	-80.059802	67
Liberal Arts & Science Academy (LASA)	7309 LAZY CREEK DR AUSTIN TX 78724 	30.3124	-97.655811	68
Brooklyn Technical High School	29 FT GREENE PLACE BROOKLYN NY 11217 	40.688872	-73.976438	69
Corbett School	35800 EAST HIST COLUMBIA RIVER CORBETT OR 97019 	45.530138	-122.2956524	70
Pittsford-​Mendon High School	472 MENDON RD PITTSFORD NY 14534 	43.0611217	-77.5197121	71
Northcoast Preparatory and Performing Arts Academy	251 BAYSIDE RD ARCATA CA 95521 	40.86427	-124.075696	72
Bergen County Technical High School	504ROUTE 46 WEST TETERBORO NJ 07608 	40.8615644	-74.0584168	73
